nct_id,nct_date,nct_year
NCT01494298,Dec-11,2011
NCT01494987,Jan-12,2012
NCT01495013,Dec-11,2011
NCT01495052,Aug-11,2011
NCT01495975,Dec-11,2011
NCT01496430,Jan-12,2012
NCT01497132,Jan-12,2012
NCT01497301,Feb-12,2012
NCT01497522,Dec-11,2011
NCT01497561,Mar-03,2003
NCT01497574,May-05,2005
NCT01497600,Feb-04,2004
NCT01497912,Jan-05,2005
NCT01498159,Dec-11,2011
NCT01498185,Feb-12,2012
NCT01498367,Mar-11,2011
NCT01498614,Mar-09,2009
NCT01498900,Aug-04,2004
NCT01498913,30-Aug-01,2001
NCT01499082,Dec-11,2011
NCT01499095,Dec-11,2011
NCT01499108,Aug-12,2012
NCT01499524,Nov-11,2011
NCT01500590,Nov-11,2011
NCT01500798,Jan-12,2012
NCT01501032,Oct-13,2013
NCT01503112,May-11,2011
NCT01505036,Dec-10,2010
NCT01505426,Nov-11,2011
NCT01505803,Jul-10,2010
NCT01506310,Jul-09,2009
NCT01507038,Dec-11,2011
NCT01507116,Mar-12,2012
NCT01507285,Aug-99,1999
NCT01507311,Sep-99,1999
NCT01508481,Jan-07,2007
NCT01508923,May-01,2001
NCT01508949,Jun-01,2001
NCT01509001,Jan-11,2011
NCT01509742,Apr-01,2001
NCT01509755,Oct-00,2000
NCT01510522,Jun-12,2012
NCT01510847,Oct-11,2011
NCT01511042,Dec-99,1999
NCT01511172,Aug-02,2002
NCT01511185,Feb-01,2001
NCT01511198,Feb-01,2001
NCT01511692,Nov-05,2005
NCT01511900,Dec-11,2011
NCT01512030,Dec-11,2011
NCT01512108,Jan-12,2012
NCT01512797,Jul-12,2012
NCT01512849,Jan-12,2012
NCT01512979,Jan-12,2012
NCT01513369,Aug-12,2012
NCT01513473,Jan-12,2012
NCT01513590,Jan-12,2012
NCT01513746,Dec-11,2011
NCT01513798,Jan-12,2012
NCT01514838,Jan-12,2012
NCT01515228,Jan-12,2012
NCT01515930,Apr-11,2011
NCT01516320,13-May-09,2009
NCT01516476,Nov-11,2011
NCT01517269,Apr-10,2010
NCT01517373,Feb-12,2012
NCT01517490,Aug-11,2011
NCT01517555,Oct-06,2006
NCT01518023,Jan-11,2011
NCT01519466,Jan-12,2012
NCT01519505,Mar-05,2005
NCT01519674,Jun-12,2012
NCT01520428,Jun-10,2010
NCT01520753,Mar-99,1999
NCT01520818,Mar-00,2000
NCT01521520,Jan-12,2012
NCT01521624,Oct-10,2010
NCT01522157,Jan-12,2012
NCT01523405,Mar-12,2012
NCT01524159,Jun-11,2011
NCT01524809,Jan-01,2001
NCT01525693,Apr-12,2012
NCT01525784,Feb-12,2012
NCT01525992,Mar-12,2012
NCT01526720,Oct-03,2003
NCT01526941,May-01,2001
NCT01526980,May-02,2002
NCT01527539,23-Nov-01,2001
NCT01527981,Mar-08,2008
NCT01528059,Feb-12,2012
NCT01528254,30-Mar-12,2012
NCT01529216,May-12,2012
NCT01529385,Feb-12,2012
NCT01529528,May-11,2011
NCT01529541,May-11,2011
NCT01529918,Nov-09,2009
NCT01530165,Dec-11,2011
NCT01531114,May-13,2013
NCT01531855,Feb-12,2012
NCT01535105,Aug-12,2012
NCT01535612,Mar-12,2012
NCT01536028,Apr-06,2006
NCT01536431,Jan-12,2012
NCT01536600,Sep-04,2004
NCT01536639,Jan-06,2006
NCT01536652,Jan-06,2006
NCT01536665,Feb-12,2012
NCT01536808,Apr-09,2009
NCT01537120,Dec-11,2011
NCT01538589,Dec-03,2003
NCT01540396,Feb-12,2012
NCT01541215,13-Nov-12,2012
NCT01541735,Jan-12,2012
NCT01541956,Feb-12,2012
NCT01542060,Jan-04,2004
NCT01542424,Mar-06,2006
NCT01542450,Aug-02,2002
NCT01542463,Sep-04,2004
NCT01544309,Mar-12,2012
NCT01544881,Mar-12,2012
NCT01545024,Sep-11,2011
NCT01545388,Feb-12,2012
NCT01545791,May-06,2006
NCT01546844,Mar-12,2012
NCT01547104,Apr-12,2012
NCT01547897,Mar-12,2012
NCT01548235,Feb-06,2006
NCT01549769,Apr-12,2012
NCT01549964,Apr-12,2012
NCT01551446,Apr-12,2012
NCT01552005,May-12,2012
NCT01552213,Mar-12,2012
NCT01552408,Mar-12,2012
NCT01553266,Mar-12,2012
NCT01554358,Aug-09,2009
